iter	Logloss
0	0.6512179116
1	0.6142565928
2	0.5758168123
3	0.5429939137
4	0.5145309283
5	0.4859798721
6	0.4664244748
7	0.4411929857
8	0.4233940212
9	0.4050993472
10	0.3899933843
11	0.3773274257
12	0.364971243
13	0.3527194198
14	0.3389934995
15	0.3280245586
16	0.3159811286
17	0.3060197891
18	0.2939233551
19	0.2877912356
20	0.2811976551
21	0.2742704901
22	0.2658137316
23	0.2595544413
24	0.2533178815
25	0.2480859591
26	0.2419889459
27	0.2350392183
28	0.2290238524
29	0.2240028259
30	0.2195948694
31	0.2164009716
32	0.2099208581
33	0.2053293266
34	0.2017970778
35	0.1978344711
36	0.1927996407
37	0.1901731324
38	0.184026977
39	0.1803364192
40	0.1763574417
41	0.1729651463
42	0.1708952276
43	0.1676768297
44	0.164957687
45	0.1624032939
46	0.1587486008
47	0.1561468246
48	0.1545174227
49	0.1518353872
50	0.1499246976
51	0.1475951335
52	0.1455945657
53	0.1427830975
54	0.1409690095
55	0.1382639749
56	0.1360511895
57	0.1332536889
58	0.1312307426
59	0.1279863798
60	0.1257325788
61	0.1232463374
62	0.1216073761
63	0.1192161839
64	0.1168814306
65	0.1154181069
66	0.114634598
67	0.1136016499
68	0.1116586769
69	0.1092774353
70	0.1074943625
71	0.1061083965
72	0.1029309431
73	0.1021927569
74	0.1004289172
75	0.09914287312
76	0.09778783908
77	0.09564473625
78	0.0943685544
79	0.09339422695
80	0.09216751253
81	0.09104639253
82	0.09043151504
83	0.089675119
84	0.08830804039
85	0.08744192668
86	0.08641343948
87	0.0853819793
88	0.08383583841
89	0.08227202866
90	0.08138907498
91	0.08036829647
92	0.07954812045
93	0.07801074575
94	0.0770572328
95	0.07680168464
96	0.07562585719
97	0.07470540025
98	0.07357723303
99	0.07252837745
