iter	Passed	Remaining
0	24	2472
1	33	1655
2	42	1383
3	53	1280
4	62	1196
5	71	1125
6	80	1074
7	89	1034
8	99	1005
9	108	977
10	117	951
11	126	927
12	135	907
13	144	887
14	153	872
15	165	869
16	177	865
17	187	853
18	196	835
19	204	818
20	213	805
21	223	791
22	232	777
23	241	764
24	251	753
25	259	739
26	268	727
27	277	714
28	286	701
29	295	690
30	304	678
31	313	667
32	322	655
33	331	644
34	341	633
35	350	622
36	359	612
37	368	601
38	379	593
39	389	584
40	398	573
41	407	562
42	416	552
43	425	540
44	434	531
45	444	521
46	454	512
47	463	502
48	472	492
49	481	481
50	490	471
51	499	461
52	508	451
53	517	441
54	526	430
55	536	421
56	546	412
57	556	402
58	565	393
59	574	383
60	583	373
61	592	363
62	601	353
63	612	344
64	623	335
65	634	327
66	644	317
67	654	307
68	663	298
69	673	288
70	682	278
71	691	268
72	700	259
73	709	249
74	719	239
75	730	230
76	740	221
77	750	211
78	759	201
79	768	192
80	777	182
81	787	172
82	797	163
83	806	153
84	815	143
85	824	134
86	833	124
87	843	114
88	852	105
89	861	95
90	871	86
91	881	76
92	895	67
93	905	57
94	914	48
95	923	38
96	932	28
97	941	19
98	953	9
99	970	0
